         65600 function calls (64307 primitive calls) in 3.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 GribStubImagePlugin.py:12(<module>)
        6    0.000    0.000    0.000    0.000 argparse.py:1526(_get_optional_kwargs)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        1    0.000    0.000    0.000    0.000 util.py:120(__new__)
       12    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
        1    0.000    0.000    0.000    0.000 GbrImagePlugin.py:27(<module>)
       86    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        8    0.000    0.000    0.000    0.000 threading.py:1318(current_thread)
        1    0.000    0.000    0.000    0.000 SunImagePlugin.py:20(<module>)
        8    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 Image.py:442(_getencoder)
       22    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
       69    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       43    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      159    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       22    0.000    0.000    0.000    0.000 os.py:754(encode)
        1    0.000    0.000    0.000    0.000 PcdImagePlugin.py:18(<module>)
        2    0.000    0.000    0.000    0.000 Image.py:555(_new)
        1    0.000    0.000    0.000    0.000 fractions.py:38(Fraction)
        1    0.000    0.000    0.000    0.000 McIdasImagePlugin.py:19(<module>)
       12    0.000    0.000    0.000    0.000 _binary.py:74(i32be)
        5    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 _dtype.py:321(_name_get)
        2    0.000    0.000    0.000    0.000 PngImagePlugin.py:183(call)
        3    0.000    0.000    0.000    0.000 __init__.py:2077(info)
       24    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
        9    0.000    0.000    0.000    0.000 Image.py:804(load)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:625(decorator)
        4    0.000    0.000    0.000    0.000 _base.py:413(result)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       19    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 format.py:241(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:1045(__init__)
      126    0.000    0.000    0.000    0.000 format.py:151(modes)
        2    0.000    0.000    0.000    0.000 format.py:252(close)
       37    0.000    0.000    0.000    0.000 argparse.py:1356(register)
        1    0.000    0.000    0.000    0.000 request.py:445(_read_first_bytes)
       12    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:289(IFDRational)
       62    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 request.py:89(__init__)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
       25    0.000    0.000    0.000    0.000 Image.py:3092(register_save)
        4    0.000    0.000    0.000    0.000 threading.py:546(clear)
        1    0.000    0.000    0.000    0.000 Image.py:514(Image)
       16    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
        3    0.000    0.000    0.000    0.000 _collections_abc.py:675(get)
        1    0.000    0.000    0.000    0.000 PdfParser.py:200(PdfName)
